step,object,x,y,zoom,question,answer,layer1_button,layer1_file,layer2_button,layer2_file
1,demo-terrafirma-map,0.5,0.5,1,Where can Telar get its materials from?,Telar works with IIIF images from any institution. This map comes from the Huntington Library's digital collection.,IIIF Compatibility,iiif_intro.md,,
2,demo-ceramic-figure,0.5,0.5,1,Can I use my own materials?,"Yes! Telar can auto-generate IIIF tiles from your own images, giving you the same zoom and pan capabilities as materials hosted externally.",Your Own Materials,self_hosted.md,,
3,demo-muisca-goldwork,0.5,0.5,1,How does text formatting work?,"Telar supports full Markdown formatting in panel content - bold, italics, links, lists, and even footnotes.",See Markdown Examples,markdown_formatting.md,Advanced Features,markdown_advanced.md
4,demo-piedrahita-title_page,0.5,0.5,1.5,What can I do with pan and zoom?,Telar gives you precise control over your reader's view. Let's explore this ornate title page from the John Carter Brown Library.,Pan and Zoom Control,pan_zoom_intro.md,,
5,demo-piedrahita-title_page,0.25,0.3,4,Can I zoom to specific details?,"Yes! Each step defines x, y coordinates and zoom level. Here we've zoomed to one of the portrait medallions of an indigenous ruler.",,,,
6,demo-piedrahita-title_page,0.49,0.06,4,Can I pan across the same image?,"Absolutely - notice how we've panned to a different medallion while staying at the same zoom level. This guides your reader's attention across the image.",,,,
7,demo-piedrahita-title_page,0.75,0.3,4,What about zooming to different areas?,You can combine panning and zooming freely. Here's one of the battle scenes depicted in the border decorations.,,,,
8,demo-muisca-goldwork,0.5,0.5,1,How does the glossary system work?,"Telar automatically links terms in your text to glossary definitions. Click any linked term to see its definition in a slide-over panel.",Glossary Linking,glossary_system.md,Related Terms,glossary_related.md
9,demo-ceramic-figure,0.5,0.5,1,What interactive features does Telar offer?,"Telar includes three interactive widgets - carousels for image sequences, tabs for multi-perspective content, and accordions for chronological information.",Carousel Example,carousel_demo.md,Accordion Example,accordion_demo.md
10,demo-terrafirma-map,0.5,0.5,1,What sorts of stories can I write?,"You can tell any visual narrative by combining objects, controlling views, formatting text, and embedding rich media like images and videos in panels.",Storytelling Possibilities,rich_media.md,Next Steps,next_steps.md
