id_objeto,titulo,destacado,creador,descripcion,url_fuente,periodo,año,tipo_objeto,temas,fuente,credito,miniatura,
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, aségúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Marca ""sí"" para destacar en la página de inicio",,,# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,,,,# Términos separados por comas para filtrado de galería,,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.",,"# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
demo-atlas-allegory,Aspecto Symbólico del Mundo Hispánico,FALSE,Laureano Atlas,"Mapa alegórico del «Mundo Hispánico», grabado por Laureano Atlas y publicado como frontispicio de Vicente Memije, Theses Mathematicas de Cosmographia, Geographia y Hydrographia (Manila: 1761).",https://figgy.princeton.edu/concern/scanned_resources/3497e01a-5086-4528-86ba-6f67ce402eec/manifest,siglo XVIII,1761,Grabado,"colonialismo, cartografía, alegoría",Princeton University Library,Princeton University Library,,
demo-leviathan,Frontispicio del Leviatán,TRUE,Abraham Bosse (según diseño de Thomas Hobbes),"Frontispicio del Leviatán de Thomas Hobbes (1651), en el que el soberano aparece como un cuerpo gigante compuesto por ciudadanos individuales.",,siglo XVII,1651,Grabado,"filosofía política, soberanía",British Library,British Library,,
demo-bogota-1614,"Pintura de las tierras, ciénagas y anegadizos del pueblo de Bogotá",FALSE,Juan de Aguilar Rendón (pintor) y Alonso Ruiz Gadálmez (fiador),Mapa-pintura de carácter jurídico presentado como prueba en un pleito de tierras entre el fiscal de la corona y Francisco Maldonado y Mendoza por predios en la sabana de Bogotá.,,siglo XVII,1614,Pintura,"colonialismo, cartografía, Nueva Granada",Archivo General de Indias,"Archivo General de Indias, Sevilla",,
demo-terrafirma-map,Terra firma et novum regnum Granatense et Popayan,TRUE,Jan Jansson y Hendrik Hondius,Mapa histórico de Nueva Granada (actual Colombia) y la región de Popayán. Este mapa calcógrafico apareció únicamente en dos atlas Jansson/Hondius con el verso en blanco.,https://hdl.huntington.org/iiif/info/p15150coll4/3342/manifest.json,siglo XVII,1630,Mapa,"colonialismo, cartografía, Nueva Granada",Huntington Library,"The Huntington Library, Art Museum, and Botanical Gardens",,
demo-piedrahita-title_page,Historia general de las conquistas del Nuevo Reino de Granada,TRUE,Lucas Fernández de Piedrahita (1624–1688); grabado por Joseph Mulder,"Portada con medallones de retratos de siete caciques indígenas, cuatro escenas de batalla y dos escudos de armas.",https://jcb.lunaimaging.com/luna/servlet/iiif/m/JCB~1~1~278~100020/manifest,siglo XVII,1688,Libro,"colonialismo, pueblos indígenas, Nueva Granada",John Carter Brown Library,John Carter Brown Library,,
demo-ceramic-figure,Figura cerámica antropomorfa,FALSE,Artista muisca desconocido,Figura cerámica del período muisca que representa la cultura material y las prácticas rituales indígenas previas a la colonización española.,,Prehispánico,,Cerámica,"pueblos indígenas, cultura material, muisca",Museo del Oro,"Museo del Oro, Bogotá",,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
,,FALSE,,,,,,,,,,,
