orden,id_historia,titulo,subtitulo,firma,privada
#,# Debe coincidir con el nombre de la pestaña exactamente. Usa letras minúsculas y guiones (p. ej. mujer-alegorica),Título de la historia,Subtítulo opcional,Atribución opcional (admite Markdown),"Si ""sí"", los usuarios deberán utilizar la clave que fijes en _config.yml"
1,mujer-alegorica,La mujer alegórica,Un mapa alegórico que desafía la autoridad imperial — una historia sencilla,Por Natalie Cobo,FALSE
2,paisajes,Paisajes coloniales,Una pintura legal de 1614 de la Sabana de Bogotá — una historia con contenidos complejos,"Por Santiago Muñoz, Adelaida Ávila y María Alejandra Orduz Avella",FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
,,,,,FALSE
